,Username,Konten,Lokasi
68,23_prabowo,sakit tak berdarah..... prabs gblk https://t.co/nseB6MSUUw,Jakarta Capital Region
69,prabowosandiag6,"masyarakat pendukung prabowo sandiaga, kirim berita terbaik dan sumber jelas ke https://t.co/Z6X6qSqddx untuk di posting di https://t.co/ydAolGqJ1l",Jakarta Capital Region
70,ssomshit,@hrtlucu SIAPA PRABOWO,nicole
71,azra_prabowo,"Silakan datang pada ku,
Tapi maaf kali ini tak ada minuman.
Terakhir kali, seseorang kusuguhkan kopi. Ia begadang dengan yang lain.","Brebes, Jawa Tengah"
72,doeldian,@CRYCOD_Project @jokowi @prabowo @LunaMaya26,
73,yunanhelmi0479,@TerkehhBsc @elonmusk @cz_binance @prabowo @iwanfals @MataNajwa,
74,doeldian,@hustleofwargame @jokowi @prabowo @LunaMaya26,
75,kulo_zhargopro,"just be honest, tahun 2014 pilih prabowo, gegara jokowi melanggar perakataanya akan tetap jdi walikota.
tahun 2019, gak milih siape2 gegara males ke TPS",
76,KNVB18,"@arifin34533 Jika yg maju Prabowo - Puan, Anies-AHY dan Airlangga-Imin, pendukung fanatik Jokowi akan coblos siapa?",jakarta
77,saji771200,@reyhan_prabowo @BuildIntoGames Because people are using script. Especially in trading plaza. Always sold out within a second. I could not buy even one even if i had been waiting at the spawn position.,
78,cr_hayday,@YaMulBuBu Pak Prabowo mau ditemenin di kosannya nggak?,Blitar
79,kusjiadi,"@mohmahfudmd Biarkan SJ yg TDK percaya survai Litbang Kompas, prof. Mereka kan kebanyakan, dari kelompok yang dulu mempercayai Lembaga Survai yg MEMENANGKAN Prabowo, sampai SUJUD SUKUR duluan. ***",
80,ridwan2474,@Hartati44247904 @kompascom Dukung jokowi apa dukung prabowo?? Kadrun ngaku2 pendukung jokowi.,Jakarta
81,omhansss,@mazzini_gsp @erdeka_ Kalo luhut hendro prabowo boleh dikubur disitu gak min??,Istana
82,Cyber_Media86,"Dijenguk Kapolri, Begini Kesan Sinta Bocah Penderita Tumor Tentang Jenderal Listyo Sigit Prabowo https://t.co/r13hJQT9E1",Indonesia
83,azra_prabowo,"Kayaknya besok harus suntik booster, biar hari hari saya tidak bad mood.","Brebes, Jawa Tengah"
84,Amartha78696228,@idafauziyah @prabowo @jokowi @IndonesiaInKL @CNN @puanmaharani_ri @Menlu_RI,
85,hendraagueezer2,@OposisiCerdas Kualat...mana mungkin jokowi milih cak imin...kalau cak imin yg dipilih bisa jadi prabowo yg menang..,
86,sekkarangmalan2,"*Dijenguk Kapolri, Begini Kesan Sinta Bocah Penderita Tumor Tentang Jenderal Listyo Sigit Prabowo* https://t.co/bKPnuL2xbR",
87,EPWX10,"Pndukung Prabowo spt ARB, SDA adl org2 bejad tabiatnya kasar termasuk org ini &gt;&gt; novrinawawi",Jakarta
88,mimina49747497,@idandasyahooco1 @KompasTV cc kan lah ke @prabowo @mohmahfudmd …melek lah pak.. da carut marut negeri ini…,
89,Beritasatu,Komunitas Jokowi-Prabowo Deklarasi di 3 Provinsi https://t.co/dawqVlYWi2 https://t.co/3P0HR1EVqo,Jakarta
90,skyxhearts,@alahsiahbuoi Hidup prabowo,
